sId,spId,language,position,description,descriptionEn,errInfo1,errAdd1,errInfo2,errAdd2,errInfo3,errAdd3,errInfo4,errAdd4,errInfo5,errAdd5,queue,createUser,createTime,modifyUser,modifyTime,sTamp
011e8167-2f83-4fe0-9932-6bb327a4282b,07c65ab3-34f9-4e0d-a023-8c00668c1693,NULL,999,例外错误提示,NULL,位置[,位置,"],错误提示:",错误提示,NULL,NULL,NULL,NULL,NULL,NULL,1,295e169d-cf86-4077-b8a9-4c5ec42b565d,2015-06-27 21:47:51.1245016 +08:00,295e169d-cf86-4077-b8a9-4c5ec42b565d,2015-06-27 21:47:51.1245016 +08:00,0x000000000017B252
026b938b-5d7b-4014-be17-7d7d5245d76e,938f9926-36d8-4e5f-8c91-5e876c430c92,1,999,例外错误提示,NULL,位置[,位置,"],错误提示:",错误提示,NULL,NULL,NULL,NULL,NULL,NULL,1,295e169d-cf86-4077-b8a9-4c5ec42b565d,2015-04-27 12:01:44.7323731 +08:00,295e169d-cf86-4077-b8a9-4c5ec42b565d,2015-04-27 12:01:44.7323731 +08:00,0x000000000012BD8A
04270f57-592c-4b55-8539-76398c0ea85c,042a3b91-4e0d-45b2-8970-ddcc170291ac,NULL,999,Exception error prompt,NULL,Position[,Position,"],Error prompt:",Error prompt,NULL,NULL,NULL,NULL,NULL,NULL,1,295e169d-cf86-4077-b8a9-4c5ec42b565d,2018-05-27 11:44:27.2245475 +08:00,295e169d-cf86-4077-b8a9-4c5ec42b565d,2018-05-27 11:44:27.2245475 +08:00,0x00000000022B7D18
05d9a094-12c7-45c8-994a-df85dedb0b87,571b1178-c9f6-4d43-a52b-ba6458b9e673,NULL,999,Exception error prompt,NULL,Position[,Position,"],Error prompt:",Error prompt,NULL,NULL,NULL,NULL,NULL,NULL,1,24597ceb-8ffb-46a5-96c0-4d173393bb5c,2019-06-25 15:30:35.2183418 +08:00,24597ceb-8ffb-46a5-96c0-4d173393bb5c,2019-06-25 15:30:35.2183418 +08:00,0x00000000022CC56E
06194d91-61a3-4e15-b34e-f22fb7f645f7,1021632f-886b-4e1f-a63d-9fbd0b984404,NULL,999,例外错误提示,NULL,位置[,位置,"],错误提示:",错误提示,NULL,NULL,NULL,NULL,NULL,NULL,1,d938fa32-b8f3-4517-b6bc-3856c73ac19b,2014-06-08 11:21:29.9611706 +08:00,d938fa32-b8f3-4517-b6bc-3856c73ac19b,2014-06-08 11:21:29.9611706 +08:00,0x00000000000920C9
06390830-3c5c-4565-b5b0-9f6e40497bee,4a202452-e850-434c-a73a-403555f5648e,NULL,999,例外错误提示,NULL,位置[,位置,"],错误提示:",错误提示,NULL,NULL,NULL,NULL,NULL,NULL,1,d938fa32-b8f3-4517-b6bc-3856c73ac19b,2014-03-30 18:22:17.4454209 +08:00,d938fa32-b8f3-4517-b6bc-3856c73ac19b,2014-03-30 18:22:17.4454209 +08:00,0x0000000000056FF0
06b92f3b-db99-4ce2-909f-6e47d255d6f0,069c5a85-54aa-423c-8222-27b0c30cb8a8,NULL,999,Exception error prompt,NULL,Position[,Position,"],Error prompt:",Error prompt,NULL,NULL,NULL,NULL,NULL,NULL,1,24597ceb-8ffb-46a5-96c0-4d173393bb5c,2019-06-26 10:06:40.0613211 +08:00,24597ceb-8ffb-46a5-96c0-4d173393bb5c,2019-06-26 10:06:40.0613211 +08:00,0x00000000022CD346
07059908-fb5e-49f9-80ad-93bf9745ca12,c24c4e77-c0b5-4206-b85c-a6aa9fe7a063,1,999,例外错误提示,NULL,位置[,位置,"],错误提示:",错误提示,NULL,NULL,NULL,NULL,NULL,NULL,1,295e169d-cf86-4077-b8a9-4c5ec42b565d,2015-06-27 21:52:21.2383216 +08:00,295e169d-cf86-4077-b8a9-4c5ec42b565d,2015-06-27 21:52:21.2383216 +08:00,0x000000000017B25D
07b26a39-0b05-4a58-b70c-7bb792c3e36e,77f4cf7b-e485-4fdc-a3fb-49fc3632db13,1,999,例外错误提示,NULL,位置[,位置,"],错误提示:",错误提示,NULL,NULL,NULL,NULL,NULL,NULL,1,295e169d-cf86-4077-b8a9-4c5ec42b565d,2015-06-27 21:51:35.0600956 +08:00,295e169d-cf86-4077-b8a9-4c5ec42b565d,2015-06-27 21:51:35.0600956 +08:00,0x000000000017B25A
07b7777e-2a12-4ba5-a7e6-0a4b10ad67a1,533ec7d1-c452-4170-a4fa-d246874e4680,1,999,例外错误提示,NULL,位置[,位置,"],错误提示:",错误提示,NULL,NULL,NULL,NULL,NULL,NULL,1,295e169d-cf86-4077-b8a9-4c5ec42b565d,2013-06-04 19:37:10.1439391 +08:00,295e169d-cf86-4077-b8a9-4c5ec42b565d,2013-06-04 19:37:10.1439391 +08:00,0x0000000000023C0B
